Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
org.hdrhistogram:HdrHistogram,"BSD-2-Clause,CC0-1.0","http://opensource.org/licenses/BSD-2-Clause,http://creativecommons.org/publicdomain/zero/1.0/",maven,org.hdrhistogram:HdrHistogram:2.2.2,gav://org.hdrhistogram:HdrHistogram,2.2.2
org.hibernate.common:hibernate-commons-annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.hibernate.common:hibernate-commons-annotations:7.0.3.Final,gav://org.hibernate.common:hibernate-commons-annotations,7.0.3.Final
org.hibernate.orm:hibernate-core,LGPL-2.1-only,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,maven,org.hibernate.orm:hibernate-core:6.6.4.Final,gav://org.hibernate.orm:hibernate-core,6.6.4.Final
org.jasypt:jasypt,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.jasypt:jasypt:1.9.3,gav://org.jasypt:jasypt,1.9.3
org.jboss.logging:jboss-logging,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.jboss.logging:jboss-logging:3.6.1.Final,gav://org.jboss.logging:jboss-logging,3.6.1.Final
org.jvnet.staxex:stax-ex,EPL-1.0,http://www.eclipse.org/legal/epl-v10.html,maven,org.jvnet.staxex:stax-ex:2.1.0,gav://org.jvnet.staxex:stax-ex,2.1.0
org.latencyutils:LatencyUtils,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,maven,org.latencyutils:LatencyUtils:2.0.3,gav://org.latencyutils:LatencyUtils,2.0.3
org.mariadb.jdbc:mariadb-java-client,LGPL-2.1-only,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,maven,org.mariadb.jdbc:mariadb-java-client:3.4.1,gav://org.mariadb.jdbc:mariadb-java-client,3.4.1
org.opensaml:opensaml-core-api,Unknown,,maven,org.opensaml:opensaml-core-api:5.1.3,gav://org.opensaml:opensaml-core-api,5.1.3
org.opensaml:opensaml-core-impl,Unknown,,maven,org.opensaml:opensaml-core-impl:5.1.3,gav://org.opensaml:opensaml-core-impl,5.1.3
org.opensaml:opensaml-messaging-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-messaging-api:5.1.3,gav://org.opensaml:opensaml-messaging-api,5.1.3
org.opensaml:opensaml-profile-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-profile-api:5.1.3,gav://org.opensaml:opensaml-profile-api,5.1.3
org.opensaml:opensaml-saml-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-saml-api:5.1.3,gav://org.opensaml:opensaml-saml-api,5.1.3
org.opensaml:opensaml-saml-impl,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-saml-impl:5.1.3,gav://org.opensaml:opensaml-saml-impl,5.1.3
org.opensaml:opensaml-security-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-security-api:5.1.3,gav://org.opensaml:opensaml-security-api,5.1.3
org.opensaml:opensaml-security-impl,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-security-impl:5.1.3,gav://org.opensaml:opensaml-security-impl,5.1.3
org.opensaml:opensaml-soap-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-soap-api:5.1.3,gav://org.opensaml:opensaml-soap-api,5.1.3
org.opensaml:opensaml-soap-impl,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-soap-impl:5.1.3,gav://org.opensaml:opensaml-soap-impl,5.1.3
